"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","4.8 out of 5 stars","Verified Purchase","Spara Fugle","Good gin. Good value.","Reviewed in the United Kingdom on 15 January 2024"
"2","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Mr. P.   Brid","Well worth the money,gin is the best spirit i have ever tasted,especiallyGordon London dry gin.","Reviewed in the United Kingdom on 22 November 2023"
"3","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","3.0 out of 5 stars","Verified Purchase","Spara Fugle","Lovely taste and saves me going out shopping.","Reviewed in the United Kingdom on 15 January 2024"
"4","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nothing to dislike a great gin","Reviewed in the United Kingdom on 18 February 2024"
"5","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Jane E Moore","Great with lemon","Reviewed in the United Kingdom on 6 February 2024"
"6","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Clarke","Nice gin. Fresh snd crispy tasting even with lots of tonic.","Reviewed in the United Kingdom on 14 February 2024"
"7","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Gill","Quality item and service","Reviewed in the United Kingdom on 19 February 2024"
"8","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Dsm","While it lasted  - shame they've increased their prices yet again.","Reviewed in the United Kingdom on 11 May 2023"
"9","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","4.0 out of 5 stars","Verified Purchase","Tim Shorrock","Great gin...Good price arrived prompt...","Reviewed in the United Kingdom on 11 December 2023"
"10","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","ANNIKA LEMAS RAMOS","Good gin.","Reviewed in the United Kingdom on 31 January 2024"
"11","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","4.8 out of 5 stars","Verified Purchase","Spara Fugle","Good gin. Good value.","Reviewed in the United Kingdom on 15 January 2024"
"12","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Mr. P.   Brid","Well worth the money,gin is the best spirit i have ever tasted,especiallyGordon London dry gin.","Reviewed in the United Kingdom on 22 November 2023"
"13","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","3.0 out of 5 stars","Verified Purchase","Spara Fugle","Lovely taste and saves me going out shopping.","Reviewed in the United Kingdom on 15 January 2024"
"14","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nothing to dislike a great gin","Reviewed in the United Kingdom on 18 February 2024"
"15","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Jane E Moore","Great with lemon","Reviewed in the United Kingdom on 6 February 2024"
"16","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Clarke","Nice gin. Fresh snd crispy tasting even with lots of tonic.","Reviewed in the United Kingdom on 14 February 2024"
"17","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Gill","Quality item and service","Reviewed in the United Kingdom on 19 February 2024"
"18","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","Dsm","While it lasted  - shame they've increased their prices yet again.","Reviewed in the United Kingdom on 11 May 2023"
"19","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","4.0 out of 5 stars","Verified Purchase","Tim Shorrock","Great gin...Good price arrived prompt...","Reviewed in the United Kingdom on 11 December 2023"
"20","Gordon’s Special Dry London Gin | 37.5% vol | 1L | Award-Winning | Triple-Distilled London Dry Gin | Clean Juniper-Dominant Taste | Handpicked Gin Botanicals","5.0 out of 5 stars","Verified Purchase","ANNIKA LEMAS RAMOS","Good gin.","Reviewed in the United Kingdom on 31 January 2024"
