"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Petzl Core Rechargeable Battery","4.6 out of 5 stars","Verified Purchase","No-one","So much better than having batterys that last a few days then end up being thrown, lasts a few weeks then recharge and reuse, great job PETZL. Saves money in the long term and doesnt creatate as much waste.","Reviewed in the United Kingdom on 9 December 2023"
"2","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Andrew Green","I don't know how I've managed without this for so long. I've been using AAA's until they run out and then replacing them. This avoids all that faff with a great batter life and quick charging.I use mine for trail running at night and it will usually give me at least four hours of good light.I would give it 5 stars but it's not cheap. I can't fault the actual unit, but if it were at a £10 price point, I'd have bought more.","Reviewed in the United Kingdom on 23 October 2023"
"3","Petzl Core Rechargeable Battery","1.0 out of 5 stars","Verified Purchase","No-one","Last purchased 2018. Used sporadically. Suddenly stopped working. Tried to charge. Seemed to be successful charge as battery light changed from red to green. When battery inserted into head torch nothing. Repeated process and nothing again. The cost of the battery is quite expensive at ~£26. Looking at other users' comments, it seems that it is quite a common fault. Now thinking that it is not worth the money and may go back to other types of rechargeable battery. I am wrong?","Reviewed in the United Kingdom on 9 December 2023"
"4","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Mr N.","👌😁Good service, fast delivery, reasonable prices.","Reviewed in the United Kingdom on 24 February 2022"
"5","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Peter J.","Love the idea. I work on the railway, so use my head torch every shift. I get about 8 hours battery life, I expected more to be honest for the price, battery cost more than my Petzl head torch. Have to charge it after every shift. I’m I the only one with poor battery life or is 8 hours normal?","Reviewed in the United Kingdom on 25 February 2024"
"6","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Vlad","Works well avoids having to buy lots of batteries.  Could have been a better price otherwise happy with purchase.","Reviewed in the United Kingdom on 17 January 2024"
"7","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Vlad","One of these fully charged is generally enough for a days use at work as an electrician depending on brightness setting, but I have two of them so I never have to buy AAA batteries for my head torch which I use for work most days.","Reviewed in the United Kingdom on 4 February 2024"
"8","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Joe 90","Recently purchased a Preloved petzl actik that takes 3aaa batt  so was pleased it could allso take this rechargeable  battery that fits perfectly in compartment, remember it fits petzl lights from 2017 &date is on all lights month&yr","Reviewed in the United Kingdom on 25 February 2024"
"9","Petzl Core Rechargeable Battery","4.0 out of 5 stars","Verified Purchase","David Taylor","Great - made my Petzl head lamp much brighter and more practical.  I am sure the lumens quoted on the box was using this rather than AAAs.  Dropped one star for the price when compared to other similar rechargeable battery packs. E.g Lipo battery for a cannon EOS which is a tenner.","Reviewed in the United Kingdom on 27 November 2023"
"10","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Andrew Cope","Bought this battery 3 years ago, and it has had a LOT of everyday use. Just bought myself another!","Reviewed in the United Kingdom on 4 October 2023"
"11","Petzl Core Rechargeable Battery","4.6 out of 5 stars","Verified Purchase","No-one","So much better than having batterys that last a few days then end up being thrown, lasts a few weeks then recharge and reuse, great job PETZL. Saves money in the long term and doesnt creatate as much waste.","Reviewed in the United Kingdom on 9 December 2023"
"12","Petzl Core Rechargeable Battery","5.0 out of 5 stars","Verified Purchase","Andrew Green","I don't know how I've managed without this for so long. I've been using AAA's until they run out and then replacing them. This avoids all that faff with a great batter life and quick charging.I use mine for trail running at night and it will usually give me at least four hours of good light.I would give it 5 stars but it's not cheap. I can't fault the actual unit, but if it were at a £10 price point, I'd have bought more.","Reviewed in the United Kingdom on 23 October 2023"
