"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","4.5 out of 5 stars","Verified Purchase","Sean","Can't believe how much fun this was and the holographic cards are a really nice touch","Reviewed in the United Kingdom on 14 January 2024"
"2","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","Liz","This is a fun little card game. My 10 year old loves the song so I got this for him for a Christmas present. We are serious board gamers and he's used to playing games with more complex rules (worker placement, engine builders etc) but I thought that this would be a nice short easy to play game. It's pretty fun as we've already played it 3 times in one sitting. It is a 'take that' game with player elimination, so for me it was more fun with just 2 players. However it's not as mean as Munchkin and the lenticular cards are darkly humorous as you kill off the beans. My son loves the cartoon illustrations and it's great to pick up and play for a few minutes to get your kid off devices. The photo shows the least gruesome 'you died' card I could find but it's cartoon humour with 'beans' instead of people so we like it. We'll be keeping and playing this one as our non-gamer friends will find the rules easy and the illustrations are great. Also it plays up to 5 people so will work for a larger group. The lenticular cards do warp over time but apparently that's not unusual and doesn't affect gameplay. The quality is lovely with linen finish on the playing cards, a custom die amd moulded insert which was a nice surprise.","Reviewed in the United Kingdom on 27 December 2023"
"3","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","4.0 out of 5 stars","Verified Purchase","Liz","Didn’t love it; found it quite boring. Rules had to be explained repeatedly until I yearned to just smash my head into the table.","Reviewed in the United Kingdom on 22 February 2024"
"4","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","4.0 out of 5 stars","Verified Purchase","Vicki","Juego divertido y de muy buena calidad","Reviewed in Mexico on 8 January 2024"
"5","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","2.0 out of 5 stars","Verified Purchase","Fernanda Blas","Love the quality of these cards! A great fun game that doesn’t take long to play, but we always want to have another round! Plus, important life skills on how not to die in dumb ways, so educational.","Reviewed in Australia on 27 February 2024"
"6","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","Fernanda Blas","Ok so for background..our family looks ves to play Fallguys and they are ""beans"" so that was an automatic good start for this game. It is really simple to play and goes pretty quick once you understand the rules. It's easy for pretty much anyone to play. We have an autistic child and a brain injured adult in our family and they got the hang of it after a round of two. We all played ""nice"" for the first couple rounds..then it was no hold up ng back trying to see which bean you could get out. Cute and funny for a family or gathering that has a sense of humor.","Reviewed in the United States on 28 December 2023"
"7","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","Lege Feliciter","I bought this for a few families for Christmas, and they all said it was fun and funny. Now we need to get one for our household.","Reviewed in Canada on 30 January 2024"
"8","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","J&N","Me gusto mucho el juego, las cartas y el material de cada uno de ellos, el juego es para todas las edades ya que lo he jugado con mi sobrina de 5 años y con personas de 70. Las cartas holograficas están bien hechas y de buen material.","Reviewed in Mexico on 13 September 2023"
"9","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","Jen","Packet würde geöffnet und kaputt geliefert !!","Reviewed in Germany on 26 January 2024"
"10","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","5.0 out of 5 stars","Verified Purchase","Darksideya","This game is such a simple fun game, the beans cards are so cute.Note: This is for the game makers:You need to release an expansion pack to make game more chaotic, more beans card or draw pile cards like beans cards would be more fun, considering the competition with other popular card games like exploding kitten, unstable unicorn etc which has alot going onBuyers do consider it, this one does have its place where you just want have relaxed fun and not think too much.","Reviewed in Australia on 28 January 2024"
"11","Dumb Ways to Die Card Game Based on the Viral Video, Card Games for Adults | Party Games | Adult Games | Fun Games, for Families & Kids Ages 12 and up","4.5 out of 5 stars","Verified Purchase","Sean","Can't believe how much fun this was and the holographic cards are a really nice touch","Reviewed in the United Kingdom on 14 January 2024"
