"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","4.6 out of 5 stars","Verified Purchase","Mr. P. L. Lawrence","I have used Bitdefender for many years with its low impact on my system hardware speed but a high level of protection. If you switch on all of the protection, it even protects against ransomware which has been very high profile in the news lately. The installation process is painless and this version can protect 10 devices that include smartphones and tablets.  Amazon is cheaper than buying from Bitdefender directly, something their sales desk admits.  All of the PC test reviews I have looked at agree that its detection rates and more importantly what it does when it finds something, is the best of the best and it has saved me from problems many times when surfing the net. Sometimes this is because website designers have not been too careful about how they have assembled their sites. A well-known UK supermarket always flashes up warnings genuinely but I am protected against those bad elements in real-time by Bitdefender so I can still get my order done in safely. This is one purchase you will not regret.","Reviewed in the United Kingdom on 28 January 2023"
"2","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","Amazon Customer","I have used this product for years. I have twice renewed here - BitDefender via Amazon and snail mail - because BitDefender quote 50% more to renew by email and cover only 5 instead of 10 devices!If you have a subscription, you can just add the activation code received by post and the subscription is extended from its end date. That is, no days are lost. Do not start a new subscription if you already have one!","Reviewed in the United Kingdom on 20 September 2023"
"3","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","Tech Guru","Bitdefender Total Security is a cross-platform antivirus software that offers protection for Windows, Mac OS, iOS, and Android devices. It has a range of features to keep your digital life safe from hackers, malware, ransomware, phishing, fraud, spam, and more. It also includes a dedicated browser for secure online banking and 200MB per day of Bitdefender VPN. The product comes with an activation code by post, which is eco-friendly and easy to use. The subscription does not automatically renew unless you choose to do so.----------Pros&Cons-------------Pros:+Speed-optimized and cross-platform protection+Safe online banking and VPN included+Advanced threat defense and privacy features+Eco-friendly packaging and no credit card are requiredCons:-Limited VPN data per day-Subscription may expire without notice-Some features may not work on all devices or platforms------My ratings-------Protection: 5/5Performance: 4.5/5Features: 4/5Value: 4.5/5Overall: 4.5/5","Reviewed in the United Kingdom on 22 June 2023"
"4","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","4.0 out of 5 stars","Verified Purchase","Tech Guru","I think this is good value for money, quick delivery and very easy to install, especially if you already have Bitdefender security.","Reviewed in the United Kingdom on 16 October 2023"
"5","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","4.0 out of 5 stars","Verified Purchase","PurpleGem8","I used the BEST until Putin went mad and wanted the CCCP back and stupid little man and Kaspersky was the best!.I decided I can no longer trust Kaspersky DOH!  and I bought this and it's very easy to use and has protected me well so far.It's takes a while to get used to it and it's not as good as Kaspersky but it's damn close and I recommend it.Learn how to turn off the naggings thingsI always buy 10 licenses and I give some away to friends and my friend in USA (I am in UK) found it dead to add him BUT he cannot access the online part without my permission which is good protection BUT once it's installed he does not need to and likes it too","Reviewed in the United Kingdom on 23 December 2022"
"6","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","HawkwindUK","I've used Bitdefender for years after seeing an excellent review of it by Which magazine a long time ago. It is superb. I think it's the best on the market and have recommended it to family and friends.","Reviewed in the United Kingdom on 15 September 2023"
"7","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","xanadu","Product installed and in working order within an hour.good value","Reviewed in the United Kingdom on 17 September 2023"
"8","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","W A THOMAS","Easy to use, watch for auto renewal, needs intervention to stop","Reviewed in the United Kingdom on 7 September 2023"
"9","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","Dennis J Smith","Easy to use","Reviewed in the United Kingdom on 18 November 2023"
"10","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","5.0 out of 5 stars","Verified Purchase","Amazon Customer","I never thought I would ever say that a program like Bitdefender could be annoying.  I had a paid version of Kaspersky prior to bitdefender and that wasn't as annoying.  Bitdefender continually sends notifications asking me to turn on the VPN, I get that they want to make more money but I already have surfshark so I ain't interested and I cannot find a way to switch them off.  Secondly the other day I get a notification telling me my phone was at risk, I go into bitdefender to run a scan after seeing another message saying we are aware of malware on your device.  So I run a scan after which I get the message your device was clean no malware found, but why don't you switch on our VPN... It's a bit like a cheap Chinese knock-off program, fairly regularly I get notifications about the VPN thing or some other stuff to try to get me to pay for paid add ons to the software.Another annoying thing is that I am being asked to turn on scam alert so I pressed the button to turn it on and I'm informed that I need to authorise something in settings.  There's a button which I need to click on and that supposedly will take me to the area in settings where I need to be be, I do this and I am brought back to the original page which is telling me that scam alert needs to be turned on.  This seems to be a never-ending circle as it never gets me into settings.  I report it and they want screenshot after screenshot after screenshot... That's a whole story in itself!I want a security program to run in the background to not be intrusive unless there is a definite attack on my phone or my PC and to be able to switch certain areas on or off without going round and round in circles.I don't want it popping up all the time like a delboy salesman try to sell me something that I don't need or want.  Enough said!","Reviewed in the United Kingdom on 16 December 2021"
"11","Bitdefender Total Security 2024 - 10 Device | 1 year Subscription | PC/Mac | Activation Code by Post","4.6 out of 5 stars","Verified Purchase","Mr. P. L. Lawrence","I have used Bitdefender for many years with its low impact on my system hardware speed but a high level of protection. If you switch on all of the protection, it even protects against ransomware which has been very high profile in the news lately. The installation process is painless and this version can protect 10 devices that include smartphones and tablets.  Amazon is cheaper than buying from Bitdefender directly, something their sales desk admits.  All of the PC test reviews I have looked at agree that its detection rates and more importantly what it does when it finds something, is the best of the best and it has saved me from problems many times when surfing the net. Sometimes this is because website designers have not been too careful about how they have assembled their sites. A well-known UK supermarket always flashes up warnings genuinely but I am protected against those bad elements in real-time by Bitdefender so I can still get my order done in safely. This is one purchase you will not regret.","Reviewed in the United Kingdom on 28 January 2023"
