"","Title","Author","Subject","Abstract","date"
"1","quantum physics, digital computers, and life from a holistic perspective","george f r ellis","quantum physics","quantum physics is a linear theory, so it is somewhat puzzling that it can underlie very complex systems such as digital computers and life. this paper investigates how this is possible. physically, such complex systems are necessarily modular hierarchical structures, with a number of key features. firstly, they cannot be described by a single wave function: only local wave functions can exist, rather than a single wave function for a living cell, a cat, or a brain. secondly, the quantum to classical transition is characterised by contextual wave-function collapse shaped by macroscopic elements that can be described classically. thirdly, downward causation occurs in the physical hierarchy in two key ways: by the downward influence of time dependent constraints, and by creation, modification, or deletion of lower level elements. fourthly, there are also logical modular hierarchical structures supported by the physical ones, such as algorithms and computer programs, they are able to support arbitrary logical operations, which can influence physical outcomes as in computer aided design and 3-d printing. finally, complex systems are necessarily open systems, with heat baths playing a key role in their dynamics and providing local arrows of time that agree with the cosmological direction of time that is established by the evolution of the universe.",2024-03-10
"2","harmonic balance for differential constitutive models under oscillatory shear","shivangi mittal, yogesh m. joshi, sachin shanbhag","soft condensed matter","harmonic balance (hb) is a popular fourier-galerkin method used in the analysis of nonlinear vibration problems where dynamical systems are subjected to periodic forcing. we adapt hb to find the periodic steady-state response of nonlinear differential constitutive models subjected to large amplitude oscillatory shear flow. by incorporating the alternating-frequency-time scheme into hb, we develop a computer program called flash (acronym for fast large amplitude simulation using harmonic balance), which makes it convenient to apply hb to any differential constitutive model. we validate flash by considering two representative constitutive models, viz., the exponential phan-thien tanner model and a nonlinear temporary network model. in terms of accuracy and speed, flash outperforms the conventional approach of solving initial value problems by numerical integration via time-stepping methods often by several orders of magnitude. we discuss how flash can be conveniently extended for other nonlinear constitutive models, which opens up potential applications in model calibration and selection, and stability analysis.",2024-03-09
"3","safe pareto improvements for expected utility maximizers in program games","anthony digiovanni, jesse clifton","computer science and game theory","agents in mixed-motive coordination problems such as chicken may fail to coordinate on a pareto-efficient outcome. safe pareto improvements (spis) were originally proposed to mitigate miscoordination in cases where players lack probabilistic beliefs as to how their delegates will play a game; delegates are instructed to behave so as to guarantee a pareto improvement on how they would play by default. more generally, spis may be defined as transformations of strategy profiles such that all players are necessarily better off under the transformed profile. in this work, we investigate the extent to which spis can reduce downsides of miscoordination between expected utility-maximizing agents. we consider games in which players submit computer programs that can condition their decisions on each other's code, and use this property to construct spis using programs capable of renegotiation. we first show that under mild conditions on players' beliefs, each player always prefers to use renegotiation. next, we show that under similar assumptions, each player always prefers to be willing to renegotiate at least to the point at which they receive the lowest payoff they can attain in any efficient outcome. thus subjectively optimal play guarantees players at least these payoffs, without the need for coordination on specific pareto improvements. lastly, we prove that renegotiation does not guarantee players any improvements on this bound.",2024-03-08
"4","fast fitting of spectral lines with gaussian and hyperfine structure models","mika juvela (1), devika tharakkal (1) ((1) university of helsinki)","astrophysics of galaxies","the fitting of spectral lines is a common step in the analysis of line observations and simulations. however, the observational noise, the presence of multiple velocity components, and potentially large data sets make it a non-trivial task. we present a new computer program spectrum iterative fitter (spif) for the fitting of spectra with gaussians or with hyperfine line profiles. the aim is to show the computational efficiency of the program and to use it to examine the general accuracy of approximating spectra with simple models. we describe the implementation of the program. to characterise its performance, we examined spectra with isolated gaussian components or a hyperfine structure, also using synthetic observations from numerical simulations of interstellar clouds. we examined the search for the globally optimal fit and the accuracy to which single-velocity-component and multi-component fits recover true values for parameters such as line areas, velocity dispersion, and optical depth. the program is shown to be fast, with fits of single gaussian components reaching on graphics processing units speeds approaching one million spectra per second. this also makes it feasible to use monte carlo simulations or markov chain monte carlo calculations for the error estimation. however, in the case of hyperfine structure lines, degeneracies affect the parameter estimation and can complicate the derivation of the error estimates. the use of many random initial values makes the fits more robust, both for locating the global $\chi^2$ minimum and for the selection of the optimal number of velocity components.",2024-03-07
"5","executing natural language-described algorithms with large language models: an investigation","xin zheng, qiming zhu, hongyu lin, yaojie lu, xianpei han, le sun","computation and language","executing computer programs described in natural language has long been a pursuit of computer science. with the advent of enhanced natural language understanding capabilities exhibited by large language models (llms), the path toward this goal has been illuminated. in this paper, we seek to examine the capacity of present-day llms to comprehend and execute algorithms outlined in natural language. we established an algorithm test set sourced from introduction to algorithm, a well-known textbook that contains many representative widely-used algorithms. to systematically assess llms' code execution abilities, we selected 30 algorithms, generated 300 random-sampled instances in total, and evaluated whether popular llms can understand and execute these algorithms. our findings reveal that llms, notably gpt-4, can effectively execute programs described in natural language, as long as no heavy numeric computation is involved. we believe our findings contribute to evaluating llms' code execution abilities and would encourage further investigation and application for the computation power of llms.",2024-02-23
"6","exploring rare-earth kitaev magnets by massive-scale computational analysis","seong-hoon jang, yukitoshi motome","strongly correlated electrons","the kitaev honeycomb model plays a pivotal role in the quest for quantum spin liquids, in which fractional quasiparticles would provide applications in decoherence-free topological quantum computing. the key ingredient is the bond-dependent ising-type interactions, dubbed the kitaev interactions, which require strong entanglement between spin and orbital degrees of freedom. this study investigates the identification and design of rare-earth materials displaying robust kitaev interactions. we scrutinize all possible $4f$ electron configurations, which require up to $6+$ million intermediate states in the perturbation processes, by developing a parallel computational program designed for massive scale calculations. our analysis reveals a predominant interplay between the isotropic heisenberg $j$ and anisotropic kitaev $k$ interactions across all realizations of the kramers doublets. remarkably, instances featuring $4f^3$ and $4f^{11}$ configurations showcase the prevalence of $k$ over $j$, presenting unexpected prospects for exploring the kitaev qsls in compounds including nd$^{3+}$ and er$^{3+}$, respectively. beyond the kitaev model, our computational program also proves adaptable to a wide range of $4f$-electron magnets.",2024-02-29
"7","from text to map: a system dynamics bot for constructing causal loop diagrams","niyousha hosseinichimeh, aritra majumdar, ross williams, navid ghaffarzadegan","human-computer interaction","we introduce and test the system dynamics bot, a computer program leveraging a large language model to automate the creation of causal loop diagrams from textual data. to evaluate its performance, we ensembled two distinct databases. the first dataset includes 20 causal loop diagrams and associated texts sourced from the system dynamics literature. the second dataset comprises responses from 30 participants to a vignette, along with causal loop diagrams coded by three system dynamics modelers. the bot uses textual data and successfully identifies approximately sixty percent of the links between variables and feedback loops in both datasets. this paper outlines our approach, provides examples, and presents evaluation results. we discuss encountered challenges and implemented solutions in developing the system dynamics bot. the bot can facilitate extracting mental models from textual data and improve model building processes. moreover, the two datasets can serve as a testbed for similar programs.",2024-02-17
"8","qacp: an annotated question answering dataset for assisting chinese python programming learners","rui xiao, lu han, xiaoying zhou, jiong wang, na zong, pengyu zhang","computation and language","in online learning platforms, particularly in rapidly growing computer programming courses, addressing the thousands of students' learning queries requires considerable human cost. the creation of intelligent assistant large language models (llms) tailored for programming education necessitates distinct data support. however, in real application scenarios, the data resources for training such llms are relatively scarce. therefore, to address the data scarcity in intelligent educational systems for programming, this paper proposes a new chinese question-and-answer dataset for python learners. to ensure the authenticity and reliability of the sources of the questions, we collected questions from actual student questions and categorized them according to various dimensions such as the type of questions and the type of learners. this annotation principle is designed to enhance the effectiveness and quality of online programming education, providing a solid data foundation for developing the programming teaching assists (ta). furthermore, we conducted comprehensive evaluations of various llms proficient in processing and generating chinese content, highlighting the potential limitations of general llms as intelligent teaching assistants in computer programming courses.",2024-01-30
"9","socialite-llama: an instruction-tuned model for social scientific tasks","gourab dey, adithya v ganesan, yash kumar lal, manal shah, shreyashee sinha, matthew matero, salvatore giorgi, vivek kulkarni, h. andrew schwartz","computation and language","social science nlp tasks, such as emotion or humor detection, are required to capture the semantics along with the implicit pragmatics from text, often with limited amounts of training data. instruction tuning has been shown to improve the many capabilities of large language models (llms) such as commonsense reasoning, reading comprehension, and computer programming. however, little is known about the effectiveness of instruction tuning on the social domain where implicit pragmatic cues are often needed to be captured. we explore the use of instruction tuning for social science nlp tasks and introduce socialite-llama -- an open-source, instruction-tuned llama. on a suite of 20 social science tasks, socialite-llama improves upon the performance of llama as well as matches or improves upon the performance of a state-of-the-art, multi-task finetuned model on a majority of them. further, socialite-llama also leads to improvement on 5 out of 6 related social tasks as compared to llama, suggesting instruction tuning can lead to generalized social understanding. all resources including our code, model and dataset can be found through this http url.",2024-02-03
"10","understanding growth mindset practices in an introductory physical computing classroom: high school students' engagement with debugging by design activities","luis morales-navarro, deborah a. fields, yasmin b. kafai","computers and society","background and context: while debugging is recognized as an essential practice, for many students, encountering bugs can generate emotional responses such as fear and anxiety that can lead to disengagement and the avoidance of computer programming. growth mindsets can support perseverance and learning in these situations, yet few studies have investigated how growth mindsets emerge in practice amongst k-12 computing students facing physical computing debugging challenges. objective: we seek to understand what (if any) growth mindset practices high school students exhibited when creating and exchanging buggy physical computing projects for their peers to solve during a debugging by design activity as part of their introductory computing course. method: we focused on moment-to-moment microgenetic analysis of student interactions in designing and solving bugs for others to examine the practices students exhibited that demonstrated the development of a growth mindset and the contexts in which these practices emerged. findings: we identified five emergent growth mindset practices: choosing challenges that lead to more learning, persisting after setbacks, giving and valuing praise for effort, approaching learning as constant improvement, and developing comfort with failure. students most often exhibited these practices in peer-to-peer interactions and while making buggy physical computing projects for their peers to solve. implications: our analysis contributes to a more holistic understanding of students' social, emotional, and motivational approaches to debugging physical computing projects through the characterization of growth mindset practices. the presented inventory of growth mindset practices may be helpful to further study growth mindset in action in other computing settings.",2024-02-02
"11","deep learning based amharic chatbot for faqs in universities","goitom ybrah hailu, shishay welay","computers and society","university students often spend a considerable amount of time seeking answers to common questions from administrators or teachers. this can become tedious for both parties, leading to a need for a solution. in response, this paper proposes a chatbot model that utilizes natural language processing and deep learning techniques to answer frequently asked questions (faqs) in the amharic language. chatbots are computer programs that simulate human conversation through the use of artificial intelligence (ai), acting as a virtual assistant to handle questions and other tasks. the proposed chatbot program employs tokenization, normalization, stop word removal, and stemming to analyze and categorize amharic input sentences. three machine learning model algorithms were used to classify tokens and retrieve appropriate responses: support vector machine (svm), multinomial naïve bayes, and deep neural networks implemented through tensorflow, keras, and nltk. the deep learning model achieved the best results with 91.55% accuracy and a validation loss of 0.3548 using an adam optimizer and softmax activation function. the chatbot model was integrated with facebook messenger and deployed on a heroku server for 24-hour accessibility. the experimental results demonstrate that the chatbot framework achieved its objectives and effectively addressed challenges such as amharic fidel variation, morphological variation, and lexical gaps. future research could explore the integration of amharic wordnet to narrow the lexical gap and support more complex questions.",2024-01-26
"12","towards a low-cost universal access cloud framework to assess stem students","l.f.s merchante, carlos m. vallez, carrie szczerbik","computers and society","government-imposed lockdowns have challenged academic institutions to transition from traditional face-to-face education into hybrid or fully remote learning models. this transition has focused on the technological challenge of guaranteeing the continuity of sound pedagogy and granting safe access to online digital university services. however, a key requisite involves adapting the evaluation process as well. in response to this need, the authors of this paper tailored and implemented a cloud deployment to provide universal access to online summative assessment of university students in a computer programming course that mirrored a traditional in-person monitored computer laboratory under strictly controlled exam conditions. this deployment proved easy to integrate with the university systems and many commercial proctoring tools. this cloud deployment is not only a solution for extraordinary situations; it can also be adapted daily for online collaborative coding assignments, practical lab sessions, formative assessments, and masterclasses where the students connect using their equipment. connecting from home facilitates access to education for students with physical disabilities. it also allows participation with their students' own adapted equipment in the evaluation processes, simplifying assessment for those with hearing or visual impairments. in addition to these benefits and the evident commitment to the safety rules, this solution has proven cheaper and more flexible than on-premise equivalent installations.",2024-01-31
