"","Title","Author","Subject","Abstract","Meta"
"1","Quantum physics, digital computers, and life from a holistic perspective","George F R Ellis","Quantum Physics (quant-ph)","Quantum physics is a linear theory, so it is somewhat puzzling that it can underlie very complex systems such as digital computers and life. This paper investigates how this is possible. Physically, such complex systems are necessarily modular hierarchical structures, with a number of key features. Firstly, they cannot be described by a single wave function: only local wave functions can exist, rather than a single wave function for a living cell, a cat, or a brain. Secondly, the quantum to classical transition is characterised by contextual wave-function collapse shaped by macroscopic elements that can be described classically. Thirdly, downward causation occurs in the physical hierarchy in two key ways: by the downward influence of time dependent constraints, and by creation, modification, or deletion of lower level elements. Fourthly, there are also logical modular hierarchical structures supported by the physical ones, such as algorithms and computer programs, They are able to support arbitrary logical operations, which can influence physical outcomes as in computer aided design and 3-d printing. Finally, complex systems are necessarily open systems, with heat baths playing a key role in their dynamics and providing local arrows of time that agree with the cosmological direction of time that is established by the evolution of the universe.","Sun, 10 Mar 2024 20:46:37 UTC (1,637 KB)"
"2","Harmonic Balance for Differential Constitutive Models under Oscillatory Shear","Shivangi Mittal, Yogesh M. Joshi, Sachin Shanbhag","Soft Condensed Matter (cond-mat.soft)","Harmonic balance (HB) is a popular Fourier-Galerkin method used in the analysis of nonlinear vibration problems where dynamical systems are subjected to periodic forcing. We adapt HB to find the periodic steady-state response of nonlinear differential constitutive models subjected to large amplitude oscillatory shear flow. By incorporating the alternating-frequency-time scheme into HB, we develop a computer program called FLASH (acronym for Fast Large Amplitude Simulation using Harmonic balance), which makes it convenient to apply HB to any differential constitutive model. We validate FLASH by considering two representative constitutive models, viz., the exponential Phan-Thien Tanner model and a nonlinear temporary network model. In terms of accuracy and speed, FLASH outperforms the conventional approach of solving initial value problems by numerical integration via time-stepping methods often by several orders of magnitude. We discuss how FLASH can be conveniently extended for other nonlinear constitutive models, which opens up potential applications in model calibration and selection, and stability analysis.","Sat, 9 Mar 2024 17:35:34 UTC (515 KB)"
"3","Safe Pareto Improvements for Expected Utility Maximizers in Program Games","Anthony DiGiovanni, Jesse Clifton","Computer Science and Game Theory (cs.GT)","Agents in mixed-motive coordination problems such as Chicken may fail to coordinate on a Pareto-efficient outcome. Safe Pareto improvements (SPIs) were originally proposed to mitigate miscoordination in cases where players lack probabilistic beliefs as to how their delegates will play a game; delegates are instructed to behave so as to guarantee a Pareto improvement on how they would play by default. More generally, SPIs may be defined as transformations of strategy profiles such that all players are necessarily better off under the transformed profile. In this work, we investigate the extent to which SPIs can reduce downsides of miscoordination between expected utility-maximizing agents. We consider games in which players submit computer programs that can condition their decisions on each other's code, and use this property to construct SPIs using programs capable of renegotiation. We first show that under mild conditions on players' beliefs, each player always prefers to use renegotiation. Next, we show that under similar assumptions, each player always prefers to be willing to renegotiate at least to the point at which they receive the lowest payoff they can attain in any efficient outcome. Thus subjectively optimal play guarantees players at least these payoffs, without the need for coordination on specific Pareto improvements. Lastly, we prove that renegotiation does not guarantee players any improvements on this bound.","Fri, 8 Mar 2024 07:07:47 UTC (74 KB)"
"4","Fast fitting of spectral lines with Gaussian and hyperfine structure models","Mika Juvela (1), Devika Tharakkal (1) ((1) University of Helsinki)","Astrophysics of Galaxies (astro-ph.GA)","The fitting of spectral lines is a common step in the analysis of line observations and simulations. However, the observational noise, the presence of multiple velocity components, and potentially large data sets make it a non-trivial task. We present a new computer program Spectrum Iterative Fitter (SPIF) for the fitting of spectra with Gaussians or with hyperfine line profiles. The aim is to show the computational efficiency of the program and to use it to examine the general accuracy of approximating spectra with simple models. We describe the implementation of the program. To characterise its performance, we examined spectra with isolated Gaussian components or a hyperfine structure, also using synthetic observations from numerical simulations of interstellar clouds. We examined the search for the globally optimal fit and the accuracy to which single-velocity-component and multi-component fits recover true values for parameters such as line areas, velocity dispersion, and optical depth. The program is shown to be fast, with fits of single Gaussian components reaching on graphics processing units speeds approaching one million spectra per second. This also makes it feasible to use Monte Carlo simulations or Markov chain Monte Carlo calculations for the error estimation. However, in the case of hyperfine structure lines, degeneracies affect the parameter estimation and can complicate the derivation of the error estimates. The use of many random initial values makes the fits more robust, both for locating the global $\chi^2$ minimum and for the selection of the optimal number of velocity components.","Thu, 7 Mar 2024 09:35:43 UTC (1,685 KB)"
"5","Executing Natural Language-Described Algorithms with Large Language Models: An Investigation","Xin Zheng, Qiming Zhu, Hongyu Lin, Yaojie Lu, Xianpei Han, Le Sun","Computation and Language (cs.CL)","Executing computer programs described in natural language has long been a pursuit of computer science. With the advent of enhanced natural language understanding capabilities exhibited by large language models (LLMs), the path toward this goal has been illuminated. In this paper, we seek to examine the capacity of present-day LLMs to comprehend and execute algorithms outlined in natural language. We established an algorithm test set sourced from Introduction to Algorithm, a well-known textbook that contains many representative widely-used algorithms. To systematically assess LLMs' code execution abilities, we selected 30 algorithms, generated 300 random-sampled instances in total, and evaluated whether popular LLMs can understand and execute these algorithms. Our findings reveal that LLMs, notably GPT-4, can effectively execute programs described in natural language, as long as no heavy numeric computation is involved. We believe our findings contribute to evaluating LLMs' code execution abilities and would encourage further investigation and application for the computation power of LLMs.","Fri, 23 Feb 2024 05:31:36 UTC (898 KB)"
"6","Exploring rare-earth Kitaev magnets by massive-scale computational analysis","Seong-Hoon Jang, Yukitoshi Motome","Strongly Correlated Electrons (cond-mat.str-el)","The Kitaev honeycomb model plays a pivotal role in the quest for quantum spin liquids, in which fractional quasiparticles would provide applications in decoherence-free topological quantum computing. The key ingredient is the bond-dependent Ising-type interactions, dubbed the Kitaev interactions, which require strong entanglement between spin and orbital degrees of freedom. This study investigates the identification and design of rare-earth materials displaying robust Kitaev interactions. We scrutinize all possible $4f$ electron configurations, which require up to $6+$ million intermediate states in the perturbation processes, by developing a parallel computational program designed for massive scale calculations. Our analysis reveals a predominant interplay between the isotropic Heisenberg $J$ and anisotropic Kitaev $K$ interactions across all realizations of the Kramers doublets. Remarkably, instances featuring $4f^3$ and $4f^{11}$ configurations showcase the prevalence of $K$ over $J$, presenting unexpected prospects for exploring the Kitaev QSLs in compounds including Nd$^{3+}$ and Er$^{3+}$, respectively. Beyond the Kitaev model, our computational program also proves adaptable to a wide range of $4f$-electron magnets.","Thu, 29 Feb 2024 04:09:50 UTC (8,992 KB)"
"7","From Text to Map: A System Dynamics Bot for Constructing Causal Loop Diagrams","Niyousha Hosseinichimeh, Aritra Majumdar, Ross Williams, Navid Ghaffarzadegan","Human-Computer Interaction (cs.HC)","We introduce and test the System Dynamics Bot, a computer program leveraging a large language model to automate the creation of causal loop diagrams from textual data. To evaluate its performance, we ensembled two distinct databases. The first dataset includes 20 causal loop diagrams and associated texts sourced from the system dynamics literature. The second dataset comprises responses from 30 participants to a vignette, along with causal loop diagrams coded by three system dynamics modelers. The bot uses textual data and successfully identifies approximately sixty percent of the links between variables and feedback loops in both datasets. This paper outlines our approach, provides examples, and presents evaluation results. We discuss encountered challenges and implemented solutions in developing the System Dynamics Bot. The bot can facilitate extracting mental models from textual data and improve model building processes. Moreover, the two datasets can serve as a testbed for similar programs.","Sat, 17 Feb 2024 22:54:25 UTC (484 KB)"
"8","QACP: An Annotated Question Answering Dataset for Assisting Chinese Python Programming Learners","Rui Xiao, Lu Han, Xiaoying Zhou, Jiong Wang, Na Zong, Pengyu Zhang","Computation and Language (cs.CL)","In online learning platforms, particularly in rapidly growing computer programming courses, addressing the thousands of students' learning queries requires considerable human cost. The creation of intelligent assistant large language models (LLMs) tailored for programming education necessitates distinct data support. However, in real application scenarios, the data resources for training such LLMs are relatively scarce. Therefore, to address the data scarcity in intelligent educational systems for programming, this paper proposes a new Chinese question-and-answer dataset for Python learners. To ensure the authenticity and reliability of the sources of the questions, we collected questions from actual student questions and categorized them according to various dimensions such as the type of questions and the type of learners. This annotation principle is designed to enhance the effectiveness and quality of online programming education, providing a solid data foundation for developing the programming teaching assists (TA). Furthermore, we conducted comprehensive evaluations of various LLMs proficient in processing and generating Chinese content, highlighting the potential limitations of general LLMs as intelligent teaching assistants in computer programming courses.","Tue, 30 Jan 2024 13:11:23 UTC (1,075 KB)[v2] Fri, 23 Feb 2024 02:35:41 UTC (1,075 KB)"
"9","SOCIALITE-LLAMA: An Instruction-Tuned Model for Social Scientific Tasks","Gourab Dey, Adithya V Ganesan, Yash Kumar Lal, Manal Shah, Shreyashee Sinha, Matthew Matero, Salvatore Giorgi, Vivek Kulkarni, H. Andrew Schwartz","Computation and Language (cs.CL)","Social science NLP tasks, such as emotion or humor detection, are required to capture the semantics along with the implicit pragmatics from text, often with limited amounts of training data. Instruction tuning has been shown to improve the many capabilities of large language models (LLMs) such as commonsense reasoning, reading comprehension, and computer programming. However, little is known about the effectiveness of instruction tuning on the social domain where implicit pragmatic cues are often needed to be captured. We explore the use of instruction tuning for social science NLP tasks and introduce Socialite-Llama -- an open-source, instruction-tuned Llama. On a suite of 20 social science tasks, Socialite-Llama improves upon the performance of Llama as well as matches or improves upon the performance of a state-of-the-art, multi-task finetuned model on a majority of them. Further, Socialite-Llama also leads to improvement on 5 out of 6 related social tasks as compared to Llama, suggesting instruction tuning can lead to generalized social understanding. All resources including our code, model and dataset can be found through this http URL.","Sat, 3 Feb 2024 01:33:16 UTC (7,698 KB)"
"10","Understanding Growth Mindset Practices in an Introductory Physical Computing Classroom: High School Students' Engagement with Debugging by Design Activities","Luis Morales-Navarro, Deborah A. Fields, Yasmin B. Kafai","Computers and Society (cs.CY)","Background and Context: While debugging is recognized as an essential practice, for many students, encountering bugs can generate emotional responses such as fear and anxiety that can lead to disengagement and the avoidance of computer programming. Growth mindsets can support perseverance and learning in these situations, yet few studies have investigated how growth mindsets emerge in practice amongst K-12 computing students facing physical computing debugging challenges. Objective: We seek to understand what (if any) growth mindset practices high school students exhibited when creating and exchanging buggy physical computing projects for their peers to solve during a Debugging by Design activity as part of their introductory computing course. Method: We focused on moment-to-moment microgenetic analysis of student interactions in designing and solving bugs for others to examine the practices students exhibited that demonstrated the development of a growth mindset and the contexts in which these practices emerged. Findings: We identified five emergent growth mindset practices: choosing challenges that lead to more learning, persisting after setbacks, giving and valuing praise for effort, approaching learning as constant improvement, and developing comfort with failure. Students most often exhibited these practices in peer-to-peer interactions and while making buggy physical computing projects for their peers to solve. Implications: Our analysis contributes to a more holistic understanding of students' social, emotional, and motivational approaches to debugging physical computing projects through the characterization of growth mindset practices. The presented inventory of growth mindset practices may be helpful to further study growth mindset in action in other computing settings.","Fri, 2 Feb 2024 20:17:13 UTC (1,085 KB)[v2] Sun, 11 Feb 2024 22:31:28 UTC (1,086 KB)"
