"","Category","Name","Reviewers_Name","Reviews","Review_Date","Rating"
"1","Movie","12th Fail","PavanKV","12th fail- THE BEST MOVIE OF 2023, period!This is a perfect example of how to take a movie with a strong and inspiring storyline based on true events. It portrays the crowd who has perseverance and never die attitude in pursuing civil services examination (UPSC) exams to eventually become IAS or IPS.Vidhu Vinod Chopra is a master story teller, and he sure knows to have the right blend of dialogue delivery with sensibility and delicacy.The ""HUG"" definition is shown as real and you can feel it.Screenplay is terrific with a touch of brilliance.Vikrant Massey's acting is a benchmark and he embodies it with full of life. His emotions, innocence, anger and happiness can be truly felt as he takes us through his tough journey to the pinnacle.Medha Shankar provides strong support for Vikrant. Their purest love, chemistry and just being there for one another when it's really needed is worth to withhold in your memory for a long time.Anant Joshi is the real friend one can wish for in their lifetime. Aisa dost sabko milna chahiye.Climax is multiple times clap worthy.10x respect for all those who pursued UPSC exams, tried multiple times and never lost hope. 100x respect for those who cleared the interview and serving for the government as the key administrators, and taking the country forward.This movie is a big inspiration for kids and future generation. It teaches them and us that life can be restarted multiple times and can bounce back stronger.12th FAIL is a BIG PASS with distinction (Rank 1, 100/100, GPA 4.0).","28 October 2023","9/10"
"2","Movie","12th Fail","krushna-patle","Must watch movie for every aspirants. The movie based on real life story. The struggle faced by a main character showed beautiful in the movie which makes movie stand out. The story presented in a best way which makes you cry, laugh and enjoy at the same time. It's a struggle story of aspirants who want to achieve his success at any cost. It teaches us no matter from where you are, what's your condition you still have a chance to win. Don't lose hope. Everyone must watch the movie and get inspired to do something in your life. And achieve your goal. The Vikrant did the best job of his career potraiting a student with an atmost sincerity. Watch ylit you will never regret it.","27 October 2023","10/10"
"3","Movie","12th Fail","movie_goer82","12th Fail is a bold movie and movies like this must be made more frequently.Alas, nowadays making such movies isn't possible easily because masses are more inclined to watch poorly made but highly promoted movies like Kashmir Files or Kerala story.This will surely inspire many and will give morale boost to many aspirants and will give it's viewer to think after watch.Direction is superb and acting of Vikrant Messy is top notch.All Hail Vikrant Massey & Vidhu Vinod Chopra As They Shape The Most Pure, Personal & Brave Hindi Film In A Long Time.12th Fail deserves an audience, and we, as cinephiles, deserve cinema that respects us. Vidhu Vinod Chopra and Vikrant Massey have served one.","27 October 2023","9/10"
"4","Movie","12th Fail","rohit-81569","Vikrant Massey what an amazing performance. After Irfan Khan it is the first time I have seen such a real acting on screen. Keep doing such films.Simple story-telling, no bollywood masala and reality at its peak. Vidhu Vinod Chopra has done justice with the script. This is the difference between experienced director and know it all ""directors"". Yes, I am talking about TVF guys. 2 seasons and they literally have made a mockery of IAS struggle. They should watch this and learn from the best.I just hope now that Vikrant gets a best actor award for this. He deserves it.That ""restart"" song is gonna stay in my mind for long. And yeah huge round of applause at the end in the theatre. Go and watch it, please!","28 October 2023","10/10"
"5","Movie","12th Fail","saviotr","First of all it is important to thank Vidhu Vinod Chopra for making this film. The story has been told in such a heartwarming way that the audience is totally involved in this inspiring story of grit, determination and victory against all odds. The performances are award worthy. Vikram Massey is outstanding in the lead role and is well supported by the rest of the cast. The direction, screenplay and editing are top notch. Unfortunately in India the over the top and illogical films become blockbusters and the really outstanding films don't do well commercially. I hope the Indian audience views such films as it will encourage film makers to do top quality work of international standards. This film falls in category that the Hindi film industry should feel proud of.","29 October 2023","10/10"
"6","Movie","12th Fail","priyankarocksghoshal","Vikrant Massey- what an actor! He is one of the most talented actors of the industry and I feel it's high time that people realize that.His expressions and dialogue delivery make this movie a masterpiece.This story of a young guy who is innocent, naive, simple touches your heart like nothing else.Vidhu Vinod Chopra has created a movie that will be relevant forever!Manoj's victory and defeats feel beyond personal! When he cracks the UPSC interview and starts crying, you feel so proud of him, and makes you so emotional!Nobody could do Manoj the way Vikrant did! He is the magic and he is an inspiration, not because he cracks the exam but because he is such a great person!Al hearts!","30 October 2023","10/10"
"7","Movie","12th Fail","puranjanbasak","12th fail is a bigraphical drama film directed by vidhu vinod chopra.I cannot explain to you what level of performance i have seen from vikrant massey. Its national award worthy. His every expression, dialogue delivery, mannerism, everything was pitch perfect. When he broke down in the final scene out of happiness, a piece of heart smiled. This actor deserves all the accolades. Another actor to applaud is medha shankar. First of all, I could not take my eyes off her, she is that pretty. And her peforamance was prettier. Her dialogue delivery and expression is on point. Anshuman pushkar plays the sandeep bhaiya, sad at his peers' misery and joyous at their success. I guess we all deserve a shraddha and gauri bhaiya in our lives, if we ever have the courage to go through what manoj kumar sir had to.The writing is brilliant, and nothing else. The characters it sets up is outstanding. We feel for them, smile and laugh at their success, break down when they break down, thats the example of finest writing. The screenplay is engaging, despite taking care of very minute details. The editing of the film is sharp, the way it captures the mindspace of manoj's first impression of mukherjeenagar is brilliant. The cinematography is brilliant, hand held shots, long shots, the use of real locations gives us the authentic feel that yes, the characters are real, the world is real, the struggle is real.The social commentary on our education system and its flaws is criticised severely. Every person has a different struggle, you have to fight through it. This is a very special film, if you feel, watch it in theatres, it deserves more love.","4 November 2023","10/10"
"8","Movie","12th Fail","Kmanav","""12th Fail"" is a masterpiece that transcends celluloid, a testament to Vidhu Vinod Chopra's unparalleled storytelling prowess. Through vivid characters, evocative visuals, profound writing, and a soul-stirring soundtrack, he crafts a narrative that resonates deeply. Vikrant Massey's portrayal of Manoj Kumar Sharma is a tour de force, embodying a range of emotions that leave an indelible mark. Priyanshu Chatterjee's portrayal of the upright police officer adds a layer of authenticity and bravery to the story. The film's exploration of discrimination and resilience is both powerful and poignant, shedding light on the stark choices faced by the marginalized. In every frame, Mr. Vinod Chopra's artistry shines through, turning moments into magic.""12th Fail"" stands as a 147-minute gem, a cinematic triumph that both impresses and inspires. Kudos to the maestro for his stellar direction and dedication to excellence.Undoubtedly, 12th Fail passes with an immense Distinction. Yes! 12th Fail is a Triumph of Unyielding Spirit.The cinematic expression in question showcases a remarkable portrayal of characters, bringing them to life in a way that blurs the lines between fiction and reality. The depth and authenticity of the performances make it seem as though the characters are not played by actors, but rather by genuine individuals. Given the outstanding work by Vikrant Massey, it would be a profound oversight if he were not recognized with a National Award for his exceptional contribution to this piece of art.Just sharing yet again... Vidhu Vinod Chopra, a cinematic maestro, weaves stories that resonate deep within. His canvas is vast, painting emotions, breathing life into characters, and etching unforgettable moments. Each frame is a testament to his artistry, where passion meets purpose, unfolding like a symphony of emotions. A true cinematic alchemist, Mr. Vinod turns moments into magic, leaving an indelible mark on Indian cinema.","27 October 2023","10/10"
"9","Movie","12th Fail","gauravsaha-32641","Bold, Raw, Unfiltered, RealA movie that definitely breaks the typecasting of Bollywood movies from the ongoing load of commerical, overhyped, overmarketed movies coming out of the movie factory, that is Bollywood.Depicts a real life story of an UPSC aspirant (and the likes), the struggles year after year, the battle of resilience, and at last the judgement day.With brilliant direction and performance by every actor/ actress making the plot look so aligned was delivered flawlessly. It would definitely connect with the Indian viewers and others.Overall ""Bold, Raw, Unfiltered and Real'Another classy performance by Vikrant Massey.","27 October 2023","10/10"
"10","Movie","12th Fail","narayan-aiming","*12th Fail Movie Review*""12th Fail"" is more than just a movie; it's a beacon of hope, inspiration, and enthusiasm that has the power to rekindle the spirits of millions of individuals seeking a ray of hope. If you carry dedication and purpose in your heart, this film stands as a testament that nothing is truly impossible.The heart-touching story of Manoj and Shraddha is beautifully brought to life on the screen, and Vikrant Massey's brilliant acting adds depth to their characters. Vidhu Vinod Chopra has masterfully portrayed this story, doing justice to its essence with a diligent and heartfelt approach.""12th Fail"" encourages us to watch it and, in doing so, reinvigorate and reignite our own lives. It reminds us that even in the face of setbacks, we can find the strength to restart and resume our journey, fueled by dedication and purpose. This film is a powerful reminder that our dreams can be within reach if we are willing to chase them with unwavering determination. Don't miss it!","30 October 2023","10/10"
